Stock,Q1 2017 date,Q1 2017 Est,Q1 2017 Act,Q2 2017 date,Q2 2017 Est,Q2 2017 Act,Q3 2017 date,Q3 2017 Est,Q3 2017 Act,Q4 2017 date,Q4 2017 Est,Q4 2017 Act,Q1 2018 date,Q1 2018 Est,Q1 2018 Act,Q2 2018 date,Q2 2018 Est,Q2 2018 Act,Q3 2018 date,Q3 2018 Est,Q3 2018 Act,Q4 2018 date,Q4 2018 Est,Q4 2018 Act
V,2017-02-02 21:00:00,0.78,0.86,2017-04-20 20:00:00,0.79,0.86,2017-07-20 20:00:00,0.81,0.86,2017-10-25 12:30:00,0.85,0.9,2018-02-01 21:00:00,0.99,1.08,2018-04-25 00:00:00,1.02,1.11,2018-07-25 00:00:00,1.09,1.2,2018-10-24 00:00:00,1.2,1.21
VAR,2017-01-25 00:00:00,1.05,0.75,2017-04-26 20:00:00,0.9,0.89,2017-07-26 20:00:00,0.95,1.04,2017-10-25 20:00:00,1.19,1.09,2018-01-24 21:00:00,0.93,1.06,2018-04-25 00:00:00,1.04,1.15,2018-07-25 00:00:00,0.99,1.04,2018-10-23 00:00:00,1.2,1.16
VFC,2017-02-17 13:30:00,0.97,0.97,2017-04-28 00:00:00,0.55,0.52,2017-07-24 00:00:00,0.28,0.29,2017-10-23 00:00:00,1.12,1.23,2018-02-16 13:30:00,1.02,1.01,2018-05-04 00:00:00,0.66,0.67,2018-07-20 00:00:00,0.33,0.43,2018-10-19 00:00:00,1.33,1.43
VLO,2017-01-31 00:00:00,0.77,0.81,2017-04-25 00:00:00,0.6,0.68,2017-07-27 00:00:00,1.1,1.23,2017-10-26 00:00:00,1.83,1.91,2018-02-01 13:30:00,1.08,1.16,2018-04-26 00:00:00,0.94,1,2018-07-26 00:00:00,1.98,2.15,2018-10-25 00:00:00,1.95,2.01
VMC,2017-02-07 13:30:00,0.85,0.69,2017-05-10 12:30:00,0.2,0.34,2017-08-02 12:30:00,1.2,0.9,2017-11-01 20:00:00,1.05,1.04,2018-02-16 13:30:00,0.74,0.74,2018-05-03 00:00:00,0.22,0.44,2018-07-31 00:00:00,1.36,1.23,2018-10-30 00:00:00,1.38,1.4
VNO,2017-02-13 21:00:00,0.49,3.43,2017-05-01 20:00:00,0.49,0.25,2017-07-31 20:00:00,0.47,0.61,2017-10-30 20:00:00,0.09,-0.15,2018-02-12 21:00:00,0.27,0.34,2018-04-30 00:00:00,-0.04,0.3,2018-07-30 00:00:00,0.39,0.36,2018-10-29 00:00:00,0.37,0.35
VRSK,2017-02-21 21:00:00,0.77,0.8,2017-05-02 20:00:00,0.79,0.74,2017-08-01 20:00:00,0.77,0.82,2017-10-31 20:00:00,0.78,0.84,2018-02-20 21:00:00,0.78,0.81,2018-05-01 00:00:00,0.94,0.94,2018-07-31 00:00:00,1,1.06,2018-10-30 00:00:00,1.07,1.08
VRSN,2017-02-09 16:05:00,0.88,0.92,2017-04-27 20:00:00,0.94,0.96,2017-07-27 20:00:00,0.99,1.05,2017-10-26 20:00:00,0.97,1,2018-02-08 16:05:00,0.97,0.96,2018-04-26 00:00:00,1.06,1.07,2018-07-26 00:00:00,1.14,1.18,2018-10-25 00:00:00,1.2,1.23
VRTX,2017-01-25 00:00:00,0.29,0.35,2017-04-27 20:00:00,0.39,0.41,2017-07-26 20:00:00,0.35,0.39,2017-10-25 20:00:00,0.31,0.53,2018-01-31 21:00:00,0.53,0.61,2018-04-26 00:00:00,0.63,0.76,2018-07-25 00:00:00,0.75,0.94,2018-10-24 00:00:00,1.02,1.09
VTR,2017-02-10 13:30:00,0.43,0.58,2017-04-28 12:30:00,0.4,0.55,2017-07-28 12:30:00,0.45,0.42,2017-10-27 12:30:00,0.45,1.71,2018-02-09 13:30:00,0.63,1.09,2018-04-27 00:00:00,0.43,0.22,2018-07-27 00:00:00,0.37,0.46,2018-10-26 00:00:00,0.36,0.28
VZ,2017-01-24 00:00:00,0.89,0.86,2017-04-20 07:30:00,0.96,0.95,2017-07-27 06:30:00,0.96,0.96,2017-10-19 07:30:00,0.98,0.98,2018-01-23 07:00:00,0.88,0.86,2018-04-24 00:00:00,1.1,1.17,2018-07-24 00:00:00,1.14,1.2,2018-10-23 00:00:00,1.19,1.22
WAB,2017-02-21 13:30:00,0.94,0.81,2017-04-25 12:30:00,0.82,0.84,2017-07-25 12:30:00,0.94,0.8,2017-10-24 12:30:00,0.84,0.88,2018-02-20 13:30:00,0.92,0.9,2018-04-24 00:00:00,0.9,0.92,2018-07-24 00:00:00,0.93,0.96,2018-10-30 00:00:00,0.95,0.95
WAT,2017-01-24 00:00:00,2.13,2.21,2017-04-25 12:30:00,1.33,1.46,2017-07-25 12:30:00,1.71,1.76,2017-10-24 12:30:00,1.74,1.77,2018-01-23 13:30:00,2.44,2.51,2018-04-24 00:00:00,1.55,1.59,2018-07-24 00:00:00,1.92,1.95,2018-10-23 00:00:00,1.9,1.92
WBA,2017-04-05 07:00:00,1.36,1.36,2017-06-29 07:00:00,1.3,1.33,2017-10-25 07:00:00,1.21,1.31,2018-01-04 07:00:00,1.26,1.28,2018-03-28 00:00:00,1.55,1.73,2018-06-28 00:00:00,1.48,1.53,2018-10-11 00:00:00,1.45,1.48,2018-12-20 00:00:00,1.43,1.46
WDC,2017-01-25 00:00:00,2.12,2.3,2017-04-27 20:00:00,2.14,2.39,2017-07-27 20:00:00,2.81,2.93,2017-10-26 20:00:00,3.3,3.56,2018-01-25 21:00:00,3.79,3.95,2018-04-26 00:00:00,3.3,3.63,2018-07-26 00:00:00,3.49,3.61,2018-10-25 00:00:00,3.04,3.04
WEC,2017-02-01 07:00:00,0.61,0.61,2017-05-02 07:00:00,1.06,1.12,2017-07-26 07:00:00,0.58,0.63,2017-10-26 12:30:00,0.67,0.68,2018-01-31 07:00:00,0.68,0.71,2018-05-01 00:00:00,1.17,1.23,2018-07-31 00:00:00,0.67,0.73,2018-10-31 00:00:00,0.71,0.74
WELL,2017-02-22 00:00:00,0.45,0.91,2017-05-05 00:00:00,0.42,0.86,2017-07-28 00:00:00,0.44,0.51,2017-11-07 00:00:00,0.46,0.2,2018-02-22 13:30:00,0.45,-0.3,2018-04-26 00:00:00,0.35,1.17,2018-07-27 00:00:00,0.43,0.41,2018-10-30 00:00:00,0.5,0.17
WFC,2017-01-13 00:00:00,1,0.96,2017-04-13 08:00:00,0.97,1,2017-07-14 08:00:00,1.01,1.07,2017-10-13 08:00:00,1.03,0.84,2018-01-12 08:00:00,1.07,0.97,2018-04-13 00:00:00,1.07,1.12,2018-07-13 00:00:00,1.12,0.98,2018-10-12 00:00:00,1.17,1.13
WHR,2017-01-26 00:00:00,4.44,4.33,2017-04-24 17:00:00,2.65,2.5,2017-07-26 16:30:00,3.54,3.35,2017-10-23 16:30:00,3.94,3.83,2018-01-24 16:30:00,3.99,4.1,2018-04-23 00:00:00,2.95,2.81,2018-07-23 00:00:00,3.69,3.2,2018-10-24 00:00:00,3.76,4.55
WLTW,2017-02-09 13:30:00,1.62,1.88,2017-05-04 12:30:00,3.35,3.71,2017-08-03 00:00:00,1.5,1.45,2017-11-02 00:00:00,1.14,1.12,2018-02-08 13:30:00,2.11,2.21,2018-05-07 00:00:00,2.63,2.71,2018-08-02 00:00:00,1.7,1.7,2018-11-02 00:00:00,1.13,1.32
WM,2017-02-16 13:30:00,0.77,0.76,2017-04-26 12:30:00,0.66,0.66,2017-07-26 12:30:00,0.81,0.81,2017-10-26 12:30:00,0.88,0.9,2018-02-15 13:30:00,0.83,0.85,2018-04-20 00:00:00,0.83,0.91,2018-07-25 00:00:00,0.99,1.01,2018-10-25 00:00:00,1.11,1.15
WMB,2017-02-15 21:00:00,0.18,-0.02,2017-05-03 20:00:00,0.21,0.45,2017-08-02 20:00:00,0.21,0.1,2017-11-01 20:00:00,0.18,0.04,2018-02-14 21:00:00,0.2,0.36,2018-05-02 00:00:00,0.21,0.18,2018-08-01 00:00:00,0.18,0.16,2018-10-31 00:00:00,0.21,0.13
WMT,2017-02-21 13:30:00,1.29,1.3,2017-05-18 00:00:00,0.96,1,2017-08-17 12:30:00,1.07,1.08,2017-11-16 00:00:00,0.97,1,2018-02-20 06:30:00,1.37,1.33,2018-05-17 00:00:00,1.12,1.14,2018-08-16 00:00:00,1.22,1.29,2018-11-15 00:00:00,1.01,1.08
WRK,2017-01-24 00:00:00,0.46,0.47,2017-04-26 12:30:00,0.46,0.54,2017-08-03 12:30:00,0.64,0.74,2017-11-02 12:30:00,0.8,0.87,2018-01-29 13:30:00,0.77,0.87,2018-04-27 00:00:00,0.84,0.83,2018-08-02 00:00:00,1.06,1.09,2018-11-05 00:00:00,1.24,1.29
WU,2017-02-09 16:00:00,0.43,0.47,2017-05-02 20:00:00,0.39,0.35,2017-08-03 20:00:00,0.42,0.5,2017-11-02 20:00:00,0.45,0.53,2018-02-13 21:00:00,0.45,0.41,2018-05-01 00:00:00,0.42,0.45,2018-08-02 00:00:00,0.47,0.46,2018-11-01 00:00:00,0.48,0.52
WY,2017-02-03 13:30:00,0.16,0.14,2017-04-28 12:30:00,0.18,0.22,2017-07-28 12:30:00,0.27,0.28,2017-10-27 12:30:00,0.32,0.34,2018-02-02 13:30:00,0.35,0.31,2018-04-27 00:00:00,0.34,0.36,2018-07-27 00:00:00,0.43,0.44,2018-10-26 00:00:00,0.37,0.28
WYNN,2017-01-26 00:00:00,0.85,0.5,2017-04-25 20:00:00,1.01,1.24,2017-07-25 20:00:00,1.16,1.18,2017-10-26 20:00:00,1.43,1.52,2018-01-22 13:30:00,1.38,1.4,2018-04-24 00:00:00,1.98,2.3,2018-08-01 00:00:00,1.96,1.53,2018-11-07 00:00:00,1.69,1.68
XEC,2017-02-15 21:00:00,0.58,0.6,2017-05-10 12:30:00,0.87,1.05,2017-08-08 20:00:00,0.95,1.06,2017-11-07 21:00:00,0.97,1.09,2018-02-14 21:00:00,1.4,1.47,2018-05-08 00:00:00,1.73,1.82,2018-08-07 00:00:00,1.64,1.59,2018-11-06 00:00:00,1.55,1.99
XEL,2017-02-02 00:00:00,0.44,0.45,2017-04-27 00:00:00,0.49,0.47,2017-07-27 00:00:00,0.42,0.45,2017-10-26 00:00:00,0.92,0.97,2018-02-07 00:00:00,0.43,0.42,2018-04-26 00:00:00,0.51,0.57,2018-07-26 00:00:00,0.47,0.52,2018-10-25 00:00:00,0.98,0.96
XLNX,2017-01-25 00:00:00,0.49,0.52,2017-04-26 23:00:00,0.54,0.57,2017-07-26 23:00:00,0.6,0.63,2017-10-25 23:00:00,0.63,0.65,2018-01-24 21:00:00,0.63,0.05,2018-04-25 00:00:00,0.65,0.75,2018-07-25 00:00:00,0.73,0.74,2018-10-24 00:00:00,0.76,0.84
XOM,2017-01-31 00:00:00,0.7,0.9,2017-04-28 12:30:00,0.85,0.95,2017-07-28 08:00:00,0.84,0.78,2017-10-27 08:00:00,0.86,0.93,2018-02-02 13:30:00,1.04,0.88,2018-04-27 00:00:00,1.12,1.09,2018-07-27 00:00:00,1.27,0.92,2018-11-02 00:00:00,1.23,1.46
XRAY,2017-02-17 13:30:00,0.65,0.67,2017-05-09 12:30:00,0.5,0.49,2017-08-09 12:30:00,0.65,0.65,2017-11-03 12:30:00,0.66,0.7,2018-03-01 21:00:00,0.81,0.82,2018-05-06 00:00:00,0.42,0.45,2018-08-07 00:00:00,0.59,0.6,2018-11-08 00:00:00,0.46,0.38
XRX,2017-01-31 00:00:00,1,1,2017-04-25 00:00:00,0.64,0.6,2017-08-01 00:00:00,0.8,0.87,2017-10-26 06:45:00,0.83,0.89,2018-01-31 13:30:00,0.96,1.04,2018-05-02 00:00:00,0.73,0.68,2018-07-26 00:00:00,0.83,0.8,2018-10-23 00:00:00,0.78,0.85
XYL,2017-02-02 06:55:00,0.65,0.66,2017-05-02 06:55:00,0.38,0.39,2017-08-01 06:55:00,0.57,0.59,2017-10-31 06:55:00,0.64,0.65,2018-02-01 06:55:00,0.76,0.76,2018-05-01 00:00:00,0.52,0.51,2018-07-31 00:00:00,0.71,0.73,2018-10-30 00:00:00,0.77,0.77
YUM,2017-02-09 13:30:00,0.74,0.79,2017-05-03 12:30:00,0.6,0.65,2017-08-03 12:30:00,0.61,0.68,2017-11-02 12:30:00,0.67,0.68,2018-02-08 13:30:00,0.8,0.96,2018-05-02 00:00:00,0.68,0.9,2018-08-02 00:00:00,0.74,0.82,2018-10-31 00:00:00,0.83,1.04
ZBH,2017-01-31 00:00:00,2.11,2.14,2017-04-27 07:30:00,2.11,2.13,2017-07-27 07:30:00,2.1,2.08,2017-11-01 07:00:00,1.74,1.72,2018-01-30 07:00:00,2.1,2.1,2018-04-26 00:00:00,1.89,1.91,2018-07-27 00:00:00,1.88,1.92,2018-10-26 00:00:00,1.61,1.63
ZION,2017-01-23 00:00:00,0.52,0.6,2017-04-24 20:00:00,0.54,0.61,2017-07-25 20:00:00,0.62,0.73,2017-10-23 20:00:00,0.73,0.72,2018-01-22 21:00:00,0.73,0.8,2018-04-23 00:00:00,0.82,1.09,2018-07-23 00:00:00,0.92,0.89,2018-10-22 00:00:00,0.96,1.04
ZTS,2017-02-16 13:30:00,0.45,0.47,2017-05-04 00:00:00,0.48,0.53,2017-08-08 12:30:00,0.53,0.53,2017-11-02 12:30:00,0.62,0.65,2018-02-15 13:30:00,0.66,0.69,2018-05-02 00:00:00,0.69,0.75,2018-08-02 00:00:00,0.7,0.77,2018-11-01 00:00:00,0.77,0.83
