Stock,Q1 2017 date,Q1 2017 Est,Q1 2017 Act,Q2 2017 date,Q2 2017 Est,Q2 2017 Act,Q3 2017 date,Q3 2017 Est,Q3 2017 Act,Q4 2017 date,Q4 2017 Est,Q4 2017 Act,Q1 2018 date,Q1 2018 Est,Q1 2018 Act,Q2 2018 date,Q2 2018 Est,Q2 2018 Act,Q3 2018 date,Q3 2018 Est,Q3 2018 Act,Q4 2018 date,Q4 2018 Est,Q4 2018 Act
NRG,2017-02-28 13:30:00,-0.29,-0.16,2017-05-02 12:30:00,-0.28,-0.51,2017-08-03 12:30:00,-0.09,0.36,2017-11-02 12:30:00,0.94,0.61,2018-03-01 13:30:00,0.26,0.25,2018-05-03 00:00:00,0.14,0.87,2018-08-02 00:00:00,0.79,0.19,2018-11-08 00:00:00,1.31,0.96
NSC,2017-01-25 00:00:00,1.36,1.42,2017-04-26 08:00:00,1.36,1.48,2017-07-26 08:00:00,1.65,1.71,2017-10-25 08:00:00,1.64,1.75,2018-01-24 08:00:00,1.57,1.69,2018-04-25 00:00:00,1.77,1.93,2018-07-25 00:00:00,2.33,2.5,2018-10-24 00:00:00,2.44,2.52
NTAP,2017-02-15 21:00:00,0.74,0.82,2017-05-24 00:00:00,0.82,0.86,2017-08-16 20:00:00,0.55,0.62,2017-11-15 21:00:00,0.69,0.81,2018-02-14 00:00:00,0.91,0.99,2018-05-23 00:00:00,1.01,1.05,2018-08-15 00:00:00,0.8,1.04,2018-11-14 00:00:00,0.99,1.06
NTRS,2017-01-18 00:00:00,1.13,1.11,2017-04-25 12:30:00,1.07,1.09,2017-07-19 12:30:00,1.23,1.12,2017-10-18 12:30:00,1.13,1.2,2018-01-24 13:30:00,1.31,1.33,2018-04-17 00:00:00,1.4,1.58,2018-07-18 00:00:00,1.63,1.68,2018-10-17 00:00:00,1.61,1.58
NUE,2017-01-31 00:00:00,0.34,0.43,2017-04-20 12:30:00,1.13,1.13,2017-07-20 12:30:00,1.06,1,2017-10-19 12:30:00,0.78,0.79,2018-01-30 13:30:00,0.55,0.65,2018-04-19 00:00:00,1.1,1.17,2018-07-19 00:00:00,2.09,2.07,2018-10-18 00:00:00,2.35,2.33
NVDA,2017-02-09 21:00:00,0.83,0.99,2017-05-09 20:00:00,0.66,0.79,2017-08-10 20:00:00,0.7,0.92,2017-11-09 21:00:00,0.94,1.33,2018-02-08 21:00:00,1.17,1.78,2018-05-10 00:00:00,1.59,2.05,2018-08-16 00:00:00,1.77,1.94,2018-11-15 00:00:00,1.87,1.84
NWL,2017-02-06 13:30:00,0.8,0.8,2017-05-08 12:30:00,0.29,0.34,2017-08-04 12:30:00,0.87,0.87,2017-11-02 12:30:00,0.92,0.86,2018-02-16 13:30:00,0.67,0.68,2018-05-04 00:00:00,0.26,0.34,2018-08-06 00:00:00,0.78,0.82,2018-11-02 00:00:00,0.64,0.81
NWSA,2017-02-09 21:00:00,0.19,0.19,2017-05-09 20:00:00,0.05,0.07,2017-08-10 20:00:00,0.09,0.11,2017-11-09 21:00:00,0.01,0.07,2018-02-08 21:00:00,0.19,0.24,2018-05-10 00:00:00,0.06,0.06,2018-08-09 00:00:00,0.06,0.08,2018-11-07 00:00:00,0.04,0.17
O,2017-02-22 21:00:00,0.3,0.33,2017-04-25 23:00:00,0.29,0.27,2017-07-26 20:00:00,0.32,0.3,2017-10-25 20:00:00,0.31,0.32,2018-02-21 21:00:00,0.32,0.22,2018-05-08 00:00:00,0.33,0.29,2018-08-01 00:00:00,0.32,0.34,2018-10-31 00:00:00,0.33,0.34
OKE,2017-02-27 21:00:00,0.46,0.43,2017-05-02 20:00:00,0.43,0.41,2017-08-01 20:00:00,0.4,0.33,2017-10-31 20:00:00,0.45,0.43,2018-02-26 21:00:00,0.52,0.53,2018-05-01 00:00:00,0.61,0.64,2018-07-31 00:00:00,0.67,0.68,2018-10-30 00:00:00,0.71,0.75
OMC,2017-02-07 13:30:00,1.44,1.47,2017-04-18 00:00:00,0.96,1.02,2017-07-20 12:30:00,1.38,1.4,2017-10-17 12:30:00,1.1,1.13,2018-02-15 13:30:00,1.54,1.55,2018-04-17 00:00:00,1.06,1.14,2018-07-17 00:00:00,1.54,1.6,2018-10-16 00:00:00,1.21,1.24
